"SeriesCode","Year","DESCRIPTION",
"SM.POP.NETM","YR1962","The data refer to five-year periods running from 1 July, 1960 to 30 June, 1965.",
"SM.POP.NETM","YR1967","The data refer to five-year periods running from 1 July, 1965 to 30 June, 1970.",
"SM.POP.NETM","YR1972","The data refer to five-year periods running from 1 July, 1970 to 30 June, 1975.",
"SM.POP.NETM","YR1977","The data refer to five-year periods running from 1 July, 1975 to 30 June, 1980.",
"SM.POP.NETM","YR1982","The data refer to five-year periods running from 1 July, 1980 to 30 June, 1985.",
"SM.POP.NETM","YR1987","The data refer to five-year periods running from 1 July, 1985 to 30 June, 1990.",
"SP.UWT.TFRT","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SM.POP.NETM","YR1992","The data refer to five-year periods running from 1 July, 1990 to 30 June, 1995.",
"SM.POP.NETM","YR1997","The data refer to five-year periods running from 1 July, 1995 to 30 June, 2000.",
"SP.UWT.TFRT","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SM.POP.NETM","YR2002","The data refer to five-year periods running from 1 July, 2000 to 30 June, 2005.",
"SM.POP.NETM","YR2007","The data refer to five-year periods running from 1 July, 2005 to 30 June, 2010.",
"SP.UWT.TFRT","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SM.POP.NETM","YR2012","The data refer to five-year periods running from 1 July, 2010 to 30 June, 2015.",
"ER.PTD.TOTL.ZS","YR2016","Reflects data that was available in the Protected Planet API in January 2017.",
"ER.PTD.TOTL.ZS","YR2017","Reflects data that was available in the Protected Planet API in August 2018.",
"SP.UWT.TFRT","YR2017","Averages for regions/groups are based on most recent available country-level data (2013-).",
"SM.POP.NETM","YR2017","The data refer to five-year periods running from 1 July, 2015 to 30 June, 2020.",
"ER.PTD.TOTL.ZS","YR2018","Reflects data that was available in the Protected Planet API in March 2019.",
